"","Sample","Eruption","Volume.km3.","num_min_age.wrt2000AD.","num_max_age.wrt2000AD.","Reference","Zone","SiO2","TiO2","Al2O3","FeOt","MgO","CaO","Na2O","K2O"
"427","IC43B","Hvannfell",0.41,12000,70000,"Hardarson1997Kempton2000","NNVZ",47.96,0.78,14.64,9.96,13.17,11.57,1.63,0.06
"428","KK12@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",55.22,2.14,13.12,13.29,4.27,7.84,2.78,0.85
"429","KK14@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",60.37,1.68,12.85,10.66,3.31,6.43,3.01,1.27
"430","KK64@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.98,2.16,13.74,13.53,5.77,10.44,2.52,0.35
"431","KK85@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",51.12,2.02,13.58,14.68,5.46,9.72,2.57,0.41
"432","KK86@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",62.33,1.13,15.4,7.97,2.31,5.51,3.66,1.29
"433","SNA26","Kroflueldar",0.25,25,35,"Nicholson1991","NNVZ",49.35,1.65,14.57,12.6,7.76,11.26,2.18,0.24
"434","NV44","Burfellshraun",1.8,3500,3500,"Koornneef2012","NNVZ",49.171,1.652,14.338,12.077,7.718,12.202,2.237,0.202
"435","KK88@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",51.17,1.72,13.94,12.12,6.69,11.39,2.24,0.31
"436","KK125@5",NA,NA,70000,120000,"Nicholson1991","NNVZ",50.54,1.89,13.51,14.48,6.13,10.51,2.21,0.3
"437","KK19","Sandnabotnafjall",0.6,12000,70000,"Nicholson1991","NNVZ",50.67,1.11,15.25,10.34,7.44,12.61,2.08,0.23
"438","KK20","Sandnabotnafjall",0.6,12000,70000,"Nicholson1991","NNVZ",51.22,1.14,14.44,10.71,7.6,12.18,2.11,0.28
"439","KK36@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",49.91,1.2,14.62,11.17,8.07,12.57,2.05,0.12
"440","KK56@2",NA,NA,3000,8500,"Nicholson1991","NNVZ",74.37,0.37,12.21,3.46,0.32,2.57,3.74,2.82
"441","KK158","Krofluhals",1,10600,10600,"Nicholson1991","NNVZ",49.95,1.19,14.49,11.09,8.11,12.74,2,0.14
"442","KRA08","Kroflueldar",0.25,25,35,"Maclennan2004","NNVZ",49.303,1.651,14.86,12.024,7.696,11.836,2.04,0.216
"443","KRA09","Kroflueldar",0.25,25,35,"Maclennan2004","NNVZ",49.343,1.662,14.822,12.068,7.638,11.86,2.015,0.218
"444","KK18@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.92,0.9,18.17,8.43,5.89,12.97,2.17,0.28
"445","KK37@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",51.22,2.06,13.31,14.78,5.42,9.76,2.59,0.42
"446","KK121@2",NA,NA,3000,8500,"Nicholson1991","NNVZ",62.41,1.22,16.42,8.61,2.31,4.95,2.69,1
"447","KK122@2",NA,NA,3000,8500,"Nicholson1991","NNVZ",50.71,2.17,13.43,15.7,5.68,9.35,2.15,0.33
"448","KRA10","Kroflueldar",0.25,25,35,"Maclennan2004","NNVZ",49.377,1.626,14.858,11.975,7.731,11.798,2.054,0.217
"449","KRA11","Kroflueldar",0.25,25,35,"Maclennan2004","NNVZ",49.386,1.635,14.865,12.024,7.695,11.789,2.017,0.218
"450","KRA12","Kroflueldar",0.25,25,35,"Maclennan2004","NNVZ",49.401,1.662,14.796,12.168,7.559,11.669,2.145,0.227
"451","KRA13","Kroflueldar",0.25,25,35,"Maclennan2004","NNVZ",49.309,1.631,14.966,11.953,7.705,11.793,2.055,0.22
"452","KRA13","Kroflueldar",0.25,25,35,"Maclennan2004","NNVZ",49.295,1.645,14.912,12.026,7.682,11.769,2.079,0.221
"453","KRA13","Kroflueldar",0.25,25,35,"Maclennan2004","NNVZ",49.263,1.638,14.938,12.042,7.701,11.819,2.008,0.219
"454","KK21","KraflaMountain",0.3,12000,70000,"Nicholson1991","NNVZ",48.7,1.44,15.13,10.99,9.06,12.31,1.93,0.12
"455","KK22","KraflaMountain",0.3,12000,70000,"Nicholson1991","NNVZ",50.72,1.52,16.05,10.64,7.42,11.25,1.88,0.23
"456","KK25","Hrafntinnuhryggur",NA,12000,70000,"Hemond1993","NNVZ",67.78,0.75,13.36,6.05,1.53,4.42,3.72,2.06
"457","KK29","Hrafntinnuhryggur",NA,12000,70000,"Hemond1993","NNVZ",75.28,0.26,12.16,3.12,0.06,1.61,4.55,2.87
"458","KK31","Hrafntinnuhryggur",NA,12000,70000,"Hemond1993","NNVZ",48.94,0.79,15.96,9.79,9.55,13.22,1.42,0.08
"459","KK62@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",51.08,2.12,13.23,15.05,5.37,9.57,2.7,0.42
"460","KK113","Holseldar",0.15,2300,2500,"Nicholson1991","NNVZ",50.23,1.8,13.75,14.04,6.42,10.73,2.33,0.29
"461","KK66","Earlypostglacialeruptions",0.01,8500,12000,"Nicholson1991","NNVZ",51.05,2.03,13.41,14.73,5.45,9.81,2.67,0.41
"462","KK32","HyaloclastiteRidges1.15km3",1.15,12000,70000,"Nicholson1991","NNVZ",49.32,1.09,15.01,10.56,8.57,13.06,1.97,0.12
"463","KK33","HyaloclastiteRidges1.15km3",1.15,12000,70000,"Nicholson1991","NNVZ",50.09,1.12,16.8,9.71,7.03,12.62,2.07,0.24
"464","KRA16","Kroflueldar",0.25,25,35,"Maclennan2004","NNVZ",49.331,1.608,14.926,11.941,7.704,11.886,2.026,0.216
"465","KRA14","Kroflueldar",0.25,25,35,"Maclennan2004","NNVZ",49.39,1.623,14.828,12.019,7.736,11.826,1.995,0.215
"466","KK123","Holseldar",0.15,2400,2500,"Nicholson1991","NNVZ",50.29,1.8,13.81,14.06,6.37,10.65,2.34,0.28
"467","IC9",NA,NA,12000,70000,"Nicholson1991","NNVZ",75.66,0.24,12.12,3.3,0.04,1.7,4.08,2.73
"468","KK114","Holseldar",0.15,2300,2500,"Nicholson1991","NNVZ",50.09,1.8,13.81,14.06,6.57,10.71,2.27,0.28
"469","KK63","HyaloclastiteRidges1.15km3",1.15,12000,70000,"Nicholson1991","NNVZ",49.47,2.04,14.34,12.33,6.95,11.76,2.39,0.25
"470","KK65","Krofluhals",1,10600,10600,"Nicholson1991","NNVZ",49.98,1.04,16.38,9.77,7.3,13.11,2,0.15
"471","KRA15","Kroflueldar",0.25,25,35,"Maclennan2004","NNVZ",49.325,1.616,14.921,11.941,7.712,11.82,2.084,0.217
"472","KK124@5",NA,NA,70000,120000,"Nicholson1991","NNVZ",50.46,1.89,13.44,14.51,6.02,10.49,2.47,0.3
"473","KK83@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",51,2.01,13.5,14.7,5.45,9.79,2.7,0.4
"474","KK82@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.7,1.65,13.96,12.73,6.58,11.34,2.39,0.26
"475","KK8@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",51.72,2.46,13.03,15.08,4.86,9.09,2.67,0.54
"476","KK9@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",63.21,1.38,12.75,9.25,2.56,5.54,3.44,1.53
"477","KK70@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.49,1.99,14.69,13.15,5.76,10.49,2.55,0.4
"478","KK76@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",49.47,0.93,19.31,9.07,5.44,13.46,1.96,0.12
"479","KK77@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",57.69,1.91,12.9,12.06,3.7,7.22,3.02,1.03
"480","KK78","Krofluhals",1,10600,10600,"Nicholson1991","NNVZ",48.86,0.73,16.1,9.41,9.73,13.25,1.64,0.06
"481","KK16@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",49.6,1.53,14.14,11.83,7.73,12.57,2.08,0.17
"482","KK11@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",49.65,1.6,15.52,10.79,7.34,12.26,2.22,0.26
"483","KK73@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.58,1.73,14.07,12.47,6.69,11.44,2.36,0.27
"484","KK75@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",49.07,1.38,17.76,9.35,6.68,13.39,1.92,0.14
"485","KK69","HyaloclastiteRidges1.15km3",1.15,12000,70000,"Nicholson1991","NNVZ",49.91,2.07,15.77,13.77,5.25,10.04,2.31,0.38
"486","KK71@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",49.49,1.65,15.14,11.05,7.33,12.59,2.17,0.21
"487","KK72@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.07,1.74,14.04,12.76,6.79,11.5,2.43,0.27
"488","KK10@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",52.48,1.73,15.31,12.97,5.72,9.53,1.53,0.36
"489","KK6@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",76.26,0.43,13.16,1.66,0.05,1.52,4.21,2.64
"490","KK7@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",73.7,0.43,12.49,4.01,0.25,2.11,4.31,2.52
"491","IC45","Burfellshraun",1.8,3200,3200,"Hardarson1997Kempton2000","NNVZ",49.09,1.64,14.91,12.03,7.37,12.1,2.29,0.2
"492","IC161","Burfellshraun",1.8,3200,3200,"Hardarson1997","NNVZ",49.09,1.51,15.39,11.28,7.74,11.94,2.53,0.18
"493","KK67@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",74.74,0.31,12.05,3.73,0.17,1.86,4.34,2.66
"494","KK79@7",NA,NA,190000,210000,"Nicholson1991Fitton2003","NNVZ",50.48,0.82,15.11,9.52,8.01,13.9,1.87,0.05
"495","KK80@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",51.6,2.71,13.78,13.54,4.93,9.52,2.59,0.66
"496","l9343","Eilifur",0.01,12000,70000,"Maclennan2001","NNVZ",49.22,1.5,16.2,10.22,7.43,12.75,2.07,0.27
"497","KK157@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",51.62,2.63,13.28,14.78,4.75,8.89,2.84,0.61
"498","Virkisfell",NA,NA,12000,800000,"Hoskuldsson2006","NNVZ",50.05,3.51,12.39,15.29,4.71,9.94,2.75,0.65
"499","Karlshryggur",NA,NA,12000,800000,"Hoskuldsson2006","NNVZ",50.84,3.47,13.03,15.16,4.63,9.11,2.4,0.64
"500","Karlsrani",NA,NA,12000,800000,"Hoskuldsson2006","NNVZ",49.34,3.51,12.98,15.79,4.77,8.93,2.83,0.67
"501","9322","Asbyrgi",NA,0,12000,"Stracke2003a","NNVZ",48.064,1.623,14.886,11.753,9.514,11.631,2.026,0.161
"502","9323","Asbyrgi",NA,0,12000,"Stracke2003a","NNVZ",47.707,1.803,15.642,11.585,9.493,11.198,2.105,0.135
"503","9324","Asbyrgi",NA,0,12000,"Stracke2003a","NNVZ",47.589,1.872,15.536,11.962,8.899,11.542,2.112,0.147
"504","9366","Draugarhraun",0.1,0,12000,"Stracke2003a","NNVZ",51.095,2.018,13.376,14.774,5.493,9.731,2.651,0.419
"505","9396","Draugarhraun",0.1,0,12000,"Stracke2003a","NNVZ",51.132,2.007,13.403,14.71,5.476,9.772,2.642,0.424
"506","Vegarskard",NA,NA,12000,800000,"Hoskuldsson2006","NNVZ",49.34,3.56,13.06,15.48,4.79,9.21,2.75,0.67
"507","Lindarhryggur",NA,NA,12000,800000,"Hoskuldsson2006","NNVZ",48.64,3.76,13.12,15.54,4.89,9.45,2.87,0.7
"508","H18",NA,NA,1150,12000,"Kokfelt2006","NNVZ",49.98,1.76,13.9,12.8,6.9,11.76,2.27,0.25
"509","IC50","Dettifoss",NA,70000,210000,"Hardarson1997","NNVZ",49.88,2.22,13.98,13.27,6.57,10.71,2.66,0.27
"510","IC51","Dettifoss",NA,70000,210000,"Hardarson1997","NNVZ",49.15,1.57,16.04,10.64,7.45,12.35,2.32,0.15
"511","IC46","Sveinahraun",0.19,130,140,"Hardarson1997","NNVZ",50.86,2.73,12.99,15.57,4.79,9.02,2.94,0.52
"512","H26","Sveinahraun",0.19,130,140,"Kokfelt2006","NNVZ",50.66,2.79,13,15.8,4.74,9.19,2.75,0.53
"513","H131","Krafla",0.25,0,1150,"Kokfelt2006","NNVZ",50.33,2.09,13.51,14.82,5.94,10.49,2.04,0.33
"514","IC52","Randarholar",0.05,1150,12000,"Hardarson1997","NNVZ",50.13,1.58,14.38,12.07,7.35,11.41,2.5,0.22
"515","H20","Randarholar",NA,1150,12000,"Kokfelt2006","NNVZ",49.96,1.75,13.89,12.93,6.88,11.75,2.23,0.24
"516","NV43","Nyarhraun",NA,140,140,"Koornneef2012","NNVZ",50.687,2.81,12.775,15.615,4.801,9.208,2.982,0.526
"517","IC49","Fosshraun",0,0,12000,"Hardarson1997","NNVZ",51.04,1.91,13.97,12.95,6.24,10.42,2.67,0.37
"518","Kreppuhryggur",NA,NA,12000,800000,"Hoskuldsson2006","NNVZ",50.31,3.52,13.1,14.61,4.91,9.6,2.42,0.73
"519","H19","Gaesavatn",NA,1150,120000,"Kokfelt2006","NNVZ",50.05,1.7,13.96,12.61,6.97,11.81,2.28,0.24
"520","NAL33",NA,NA,NA,NA,"Condomines1983","NNVZ",48.831,0.597,15.912,8.841,9.677,14.222,1.661,0.01
"521","84-05@1",NA,0.25,25,35,"Nicholson1991","NNVZ",50.45,2.09,13.34,14.75,5.96,10.31,2.33,0.33
"522","84-19@1",NA,0.25,25,35,"Nicholson1991","NNVZ",48.99,1.48,14.86,11.64,8.7,11.7,2.09,0.2
"523","KK13@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",49.9,2.01,13.07,15.28,5.87,10.82,2.34,0.23
"524","KK131@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.69,2.12,14.18,13.94,5.57,10.14,2.44,0.43
"525","KK2@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.18,1.43,14.52,12.54,7.15,11.49,2.16,0.18
"526","KK35@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",57.96,1.33,15.67,9.62,3.35,7.29,3.53,0.82
"527","KK81@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",49.7,0.69,15.59,9.39,9.01,13.68,1.66,0.05
"528","KK84@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.06,1.83,13.53,14.64,6.53,10.67,2.1,0.22
"529","IC48","Jokulsa",NA,70000,210000,"Hardarson1997","NNVZ",50.75,2.37,14.15,12.57,5.78,10.16,3.15,0.59
