"","Sample","Eruption","Volume.km3.","num_min_age.wrt2000AD.","num_max_age.wrt2000AD.","Reference","Zone","SiO2","TiO2","Al2O3","FeOt","MgO","CaO","Na2O","K2O"
"110","FH9873","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.529,0.657,14.052,9.235,12.981,12.748,1.535,0.051
"111","FH9805","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.859,0.685,14.826,9.271,11.462,12.993,1.632,0.05
"112","FH9871","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.792,0.709,14.542,9.322,11.707,12.993,1.661,0.051
"113","FH9854","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.563,0.695,14.035,9.392,12.816,12.645,1.582,0.05
"114","FH9874","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.858,0.686,14.745,9.318,11.516,13.02,1.585,0.05
"115","H129","Bondholshraun",0.2,8500,10300,"Kokfelt2006","NNVZ",49.6,0.73,15.3,9.52,10.39,12.72,1.42,0.08
"116","l9351","Raudholl",0.01,12000,70000,"Maclennan2001","NNVZ",49.53,2.03,14.82,13.12,6.25,11.01,2.55,0.27
"117","l9351A","Raudholl",0.01,12000,70000,"Maclennan2001","NNVZ",49.78,2.01,14.93,12.97,6.15,10.87,2.58,0.27
"118","FH9808","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.905,0.646,15.004,9.061,11.412,13.066,1.635,0.05
"119","IT7",NA,NA,0,10000,"Elliott1991","NNVZ",48.758,0.685,14.979,9.223,11.45,13.219,1.42,0.053
"120","FH9870","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.784,0.627,15.054,8.989,11.83,12.786,1.672,0.05
"121","FH9855","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.568,0.716,14.29,9.519,12.445,12.576,1.603,0.061
"122","l9360","Storavitishraun",18.4,11300,11300,"Slater2001","NNVZ",49.48,0.99,14.96,10.37,8.63,13.25,2,0.07
"123","FH9869","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.481,0.675,13.994,9.183,13.027,12.755,1.622,0.05
"124","NV41","Prengslaborgir",NA,3000,3000,"Koornneef2012","NNVZ",49.407,1.555,14.295,11.382,7.824,12.781,2.221,0.162
"125","NV42","Elda",NA,280,280,"Koornneef2012","NNVZ",50.133,2.051,13.404,14.692,5.971,10.398,2.539,0.325
"126","K2@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",74.89,0.47,12.32,3.22,0.37,1.84,3.97,2.77
"127","KK3@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",74.42,0.35,12.14,3.95,0.19,1.99,4.19,2.6
"128","KK57@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",74.78,0.32,12.18,3.72,0.12,1.88,4.22,2.65
